Short Name,Long Name,Global ID
1,01.Mid.010,1EcnkFUEX4Ghhefn8c6789
3,01.Mid.100,1EcnkFUEX4Ghhefn8c678B
4,01.Mid.801,1EcnkFUEX4Ghhefn8c678C
5,01.Mid.802,1EcnkFUEX4Ghhefn8c678F
6,01.Mid.803,1EcnkFUEX4Ghhefn8c678E
8,01.Mid.851,1EcnkFUEX4Ghhefn8c6780
9,01.Mid.853,1EcnkFUEX4Ghhefn8c6783
10,01.Mid.854,1EcnkFUEX4Ghhefn8c6782
11,01.Mid.855,1EcnkFUEX4Ghhefn8c6785
12,01.Oost.010,1EcnkFUEX4Ghhefn8c6784
13,01.Oost.050,1EcnkFUEX4Ghhefn8c6787
14,01.Oost.110,1EcnkFUEX4Ghhefn8c6786
15,01.Oost.150,1EcnkFUEX4Ghhefn8c678v
16,01.Oost.170,1EcnkFUEX4Ghhefn8c678u
17,01.Oost.180,1EcnkFUEX4Ghhefn8c678x
18,01.Oost.190,1EcnkFUEX4Ghhefn8c678w
19,01.Oost.240,1EcnkFUEX4Ghhefn8c678z
20,01.Oost.310,1EcnkFUEX4Ghhefn8c678y
21,01.Oost.320,1EcnkFUEX4Ghhefn8c678$
22,01.Oost.321,1EcnkFUEX4Ghhefn8c678_
23,01.Oost.330,1EcnkFUEX4Ghhefn8c678n
24,01.Oost.350,1EcnkFUEX4Ghhefn8c678m
25,01.Oost.370,1EcnkFUEX4Ghhefn8c678p
26,01.Oost.400,1EcnkFUEX4Ghhefn8c678o
27,01.Oost.410,1EcnkFUEX4Ghhefn8c678r
28,01.Oost.430,1EcnkFUEX4Ghhefn8c678q
29,01.Oost.450,1EcnkFUEX4Ghhefn8c678t
30,01.Oost.470,1EcnkFUEX4Ghhefn8c678s
31,01.Oost.500,1EcnkFUEX4Ghhefn8c678f
32,01.Oost.510,1EcnkFUEX4Ghhefn8c678e
33,01.Oost.530,1EcnkFUEX4Ghhefn8c678h
34,01.Oost.560,1EcnkFUEX4Ghhefn8c678g
35,01.Oost.620,1EcnkFUEX4Ghhefn8c678j
36,01.Oost.700,1EcnkFUEX4Ghhefn8c678i
37,01.Oost.710,1EcnkFUEX4Ghhefn8c678l
38,01.Oost.720,1EcnkFUEX4Ghhefn8c678k
39,01.Oost.740,1EcnkFUEX4Ghhefn8c678X
40,01.Oost.760,1EcnkFUEX4Ghhefn8c678W
41,01.Oost.800,1EcnkFUEX4Ghhefn8c678Z
43,01.Oost.802,1EcnkFUEX4Ghhefn8c678b
44,01.Oost.804,1EcnkFUEX4Ghhefn8c678a
45,01.Oost.805,1EcnkFUEX4Ghhefn8c678d
46,01.Oost.807,1EcnkFUEX4Ghhefn8c678c
47,01.Oost.808,1EcnkFUEX4Ghhefn8c67BP
48,01.Oost.809,1EcnkFUEX4Ghhefn8c67BO
49,01.Oost.810,1EcnkFUEX4Ghhefn8c67BR
50,01.Oost.812,1EcnkFUEX4Ghhefn8c67BQ
51,01.Oost.841,1EcnkFUEX4Ghhefn8c67BT
52,01.Oost.842,1EcnkFUEX4Ghhefn8c67BS
53,01.Oost.852,1EcnkFUEX4Ghhefn8c67BV
54,01.Oost.853,1EcnkFUEX4Ghhefn8c67BU
55,01.Oost.854,1EcnkFUEX4Ghhefn8c67BH
56,01.Oost.857,1EcnkFUEX4Ghhefn8c67BG
57,01.Oost.858,1EcnkFUEX4Ghhefn8c67BJ
58,01.Oost.859,1EcnkFUEX4Ghhefn8c67BI
59,01.Oost.864,1EcnkFUEX4Ghhefn8c67BL
62,01.Oost.867,1EcnkFUEX4Ghhefn8c67BM
63,01.Oost.868,1EcnkFUEX4Ghhefn8c67B9
65,01.Oost.891,1EcnkFUEX4Ghhefn8c67BB
66,01.Oost.940,1EcnkFUEX4Ghhefn8c67BA
67,01.Oost.950,1EcnkFUEX4Ghhefn8c67BD
68,01.West.010,1EcnkFUEX4Ghhefn8c67BC
69,01.West.020,1EcnkFUEX4Ghhefn8c67BF
70,01.West.030,1EcnkFUEX4Ghhefn8c67BE
71,01.West.040,1EcnkFUEX4Ghhefn8c67B1
72,01.West.050,1EcnkFUEX4Ghhefn8c67B0
73,01.West.060,1EcnkFUEX4Ghhefn8c67B3
74,01.West.080,1EcnkFUEX4Ghhefn8c67B2
75,01.West.085,1EcnkFUEX4Ghhefn8c67B5
76,01.West.090,1EcnkFUEX4Ghhefn8c67B4
77,01.West.095,1EcnkFUEX4Ghhefn8c67B7
78,01.West.100,1EcnkFUEX4Ghhefn8c67B6
79,01.West.105,1EcnkFUEX4Ghhefn8c67Bv
80,01.West.110,1EcnkFUEX4Ghhefn8c67Bu
81,01.West.120,1EcnkFUEX4Ghhefn8c67Bx
82,01.West.130,1EcnkFUEX4Ghhefn8c67Bw
83,01.West.150,1EcnkFUEX4Ghhefn8c67Bz
84,01.West.160,1EcnkFUEX4Ghhefn8c67By
85,01.West.170,1EcnkFUEX4Ghhefn8c67B$
86,01.West.200,1EcnkFUEX4Ghhefn8c67B_
87,01.West.230,1EcnkFUEX4Ghhefn8c67Bn
